Wavelength (nm),Air_n,Air_k,Cu_n,Cu_k,SiO2_n,SiO2_k,Zn0.16_n,Zn0.16_k
250.0,1.000301584096422,0.0,1.3765573770491804,1.7761147540983606,1.5075680473372781,0.0,1.289918,0.933073
251.0,1.000301315191963,0.0,1.3831147540983608,1.7692295081967213,1.5070727810650888,0.0,1.2950766827301556,0.9356133977625855
252.0,1.0003010462875042,0.0,1.389672131147541,1.762344262295082,1.5065775147928995,0.0,1.3002353654603114,0.9381537955251709
253.0,1.0003007773830452,0.0,1.3962295081967213,1.7554590163934427,1.5060822485207102,0.0,1.305394048190467,0.9406941932877564
254.0,1.0003005084785863,0.0,1.4027868852459016,1.7485737704918034,1.5055869822485208,0.0,1.3105527309206226,0.9432345910503418
255.0,1.0003002395741274,0.0,1.409344262295082,1.741688524590164,1.5050917159763313,0.0,1.3157114136507784,0.9457749888129272
256.0,1.0002999706696685,0.0,1.41,1.734076923076923,1.504596449704142,0.0,1.3208283225659108,0.948220518861349
257.0,1.0002997017652095,0.0,1.41,1.7263846153846154,1.5041011834319526,0.0,1.3259443754742204,0.9506641049309762
258.0,1.0002994328607506,0.0,1.41,1.7186923076923077,1.5036059171597633,0.0,1.33106042838253,0.9531076910006033
259.0,1.0002991639562917,0.0,1.41,1.711,1.503110650887574,0.0,1.3361764812908397,0.9555512770702305
260.0,1.000298936342611,0.0,1.41,1.7033076923076924,1.5026153846153847,0.0,1.3412925341991493,0.9579948631398576
261.0,1.0002987190516246,0.0,1.41,1.6956153846153847,1.5021201183431954,0.0,1.3457422562911348,0.9618852596305237
262.0,1.0002985017606383,0.0,1.4121917808219175,1.6897397260273974,1.501624852071006,0.0,1.3501640981741327,0.9658361926833835
263.0,1.000298284469652,0.0,1.4176712328767123,1.6865890410958906,1.5011295857988165,0.0,1.3545859400571305,0.9697871257362431
264.0,1.0002980671786657,0.0,1.4231506849315068,1.6834383561643835,1.5006343195266272,0.0,1.3590077819401285,0.9737380587891029
265.0,1.0002978498876793,0.0,1.4286301369863013,1.6802876712328767,1.5001390532544379,0.0,1.3634296238231263,0.9776889918419626
266.0,1.000297632596693,0.0,1.4341095890410958,1.6771369863013699,1.499722119205298,0.0,1.3677638561038867,0.981927089702156
267.0,1.000297415305707,0.0,1.4395890410958905,1.673986301369863,1.4993247682119206,0.0,1.3720924723809182,0.9861835955745725
268.0,1.0002971980147206,0.0,1.445068493150685,1.670835616438356,1.4989274172185432,0.0,1.3764210886579495,0.9904401014469888
269.0,1.0002969807237343,0.0,1.4501388888888889,1.6676944444444444,1.4985300662251655,0.0,1.380749704934981,0.9946966073194052
270.0,1.000296763432748,0.0,1.4515277777777778,1.6646388888888888,1.498132715231788,0.0,1.3850783212120126,0.9989531131918216
271.0,1.0002965461417617,0.0,1.4529166666666666,1.6615833333333332,1.4977353642384106,0.0,1.3894313023003015,1.0031174686683342
272.0,1.0002963288507754,0.0,1.4543055555555555,1.6585277777777776,1.4973380132450331,0.0,1.3937864113114908,1.0072737761064015
273.0,1.000296111559789,0.0,1.4556944444444444,1.6554722222222222,1.4969406622516557,0.0,1.3981415203226801,1.0114300835444687
274.0,1.0002959019860658,0.0,1.4570833333333333,1.6524166666666666,1.4965433112582782,0.0,1.4024966293338694,1.015586390982536
275.0,1.0002957232813945,0.0,1.4584722222222222,1.649361111111111,1.4961459602649008,0.0,1.4068517383450587,1.0197426984206033
276.0,1.0002955445767232,0.0,1.459861111111111,1.6463055555555555,1.4957486092715233,0.0,1.4073809295656643,1.0245736943514845
277.0,1.0002953658720521,0.0,1.4589156626506024,1.644590361445783,1.4953512582781456,0.0,1.4074831191722044,1.0294799906654875
278.0,1.0002951871673809,0.0,1.457710843373494,1.643024096385542,1.4949539072847682,0.0,1.4075853087787447,1.0343862869794904
279.0,1.0002950084627096,0.0,1.4565060240963854,1.6414578313253012,1.4945565562913907,0.0,1.4076874983852847,1.0392925832934936
280.0,1.0002948297580383,0.0,1.455301204819277,1.6398915662650602,1.4941592052980133,0.0,1.4077896879918248,1.0441988796074966
281.0,1.0002946510533672,0.0,1.4540963855421687,1.6383253012048193,1.4938210502283105,0.0,1.407633457603066,1.049203112719718
282.0,1.000294472348696,0.0,1.45289156626506,1.6367590361445783,1.4935082648401827,0.0,1.4074418271908018,1.0542207618408472
283.0,1.0002942936440247,0.0,1.4516867469879517,1.6351927710843372,1.4931954794520548,0.0,1.4072501967785374,1.0592384109619768
284.0,1.0002941149393534,0.0,1.4504819277108434,1.6336265060240964,1.492882694063927,0.0,1.4070585663662731,1.0642560600831064
